name,holderId:ID(Holder),:LABEL
浙江双井投资,771,Holder
泰达宏利基金,772,Holder
沈洪发,773,Holder
UBS AG,774,Holder
虞炳仁,775,Holder
朱婉依,776,Holder
宜宾国有资产经营,777,Holder
浙江荣盛控股,778,Holder
四川全明劲力旅游开发,779,Holder
宜宾南溪区兴南资源开发,780,Holder
朱春梅,781,Holder
廖丹,782,Holder
徐文君,783,Holder
上海晋拓投资管理中心,784,Holder
吴凯,785,Holder
张嵘,786,Holder
储熙凤,787,Holder
倪海春,788,Holder
芮,789,Holder
章志坚,790,Holder
江苏双象,791,Holder
李凌云,792,Holder
李世江,793,Holder
焦作多氟多实业,794,Holder
侯红军,795,Holder
北京中证焦桐投资基金,796,Holder
红土创新基金,797,Holder
赣州开发区工业投资,798,Holder
高强,799,Holder
中证500交易型开放式指数证券投资基金,800,Holder
车成聚,801,Holder
淄博齐翔石油化工,802,Holder
长安国际信托,803,Holder
淄博齐翔腾达化工回购专用证券账户,804,Holder
广州君凯投资,805,Holder
广州臻堃贸易,806,Holder
沈锡强,807,Holder
沈琦,808,Holder
沈馥,809,Holder
国家集成电路产业投资基金,810,Holder
华泰瑞联基金管理,811,Holder
李文,812,Holder
农银二号无锡股权投资中心,813,Holder
宁波梅山保税港区灏坤投资管理合伙企业,814,Holder
宁波梅山保税港区毓朗投资管理合伙企业,815,Holder
王,816,Holder
新沂必康新医药产业综合体投资,817,Holder
李宗松,818,Holder
北京阳光融汇医疗健康产业成长投资管理中心,819,Holder
周新基,820,Holder
肥城桃都新能源,821,Holder
上海萃竹股权投资管理中心,822,Holder
陕西北度新材料科技,823,Holder
国融融资租赁,824,Holder
阮华林,825,Holder
阮加春,826,Holder
阮靖淅,827,Holder
阮静波,828,Holder
张爱娟,829,Holder
徐万福,830,Holder
嘉实基金,831,Holder
辽宁晨旭实业,832,Holder
刘江山,833,Holder
俞菊美,834,Holder
刘河山,835,Holder
毛民,836,Holder
杜永忠,837,Holder
王金涛,838,Holder
刘凯飞,839,Holder
嘉兴金生未来七号股权投资合伙企业,840,Holder
康得投资,841,Holder
上海兴瀚资产管理,842,Holder
浙江中泰创赢资产管理,843,Holder
深圳前海安鹏资本管理中心,844,Holder
华富基金,845,Holder
天弘基金,846,Holder
华软投资控股,847,Holder
郁其平,848,Holder
徐敏,849,Holder
徐仁华,850,Holder
吴慧,851,Holder
王炬,852,Holder
李巧华,853,Holder
马晓霞,854,Holder
张建中,855,Holder
郑铁江,856,Holder
惠宁,857,Holder
郑江,858,Holder
江苏百川高科新材料回购专用证券账户,859,Holder
广发证券资管,860,Holder
王亚娟,861,Holder
徐霞红,862,Holder
袁谦,863,Holder
李思衡,864,Holder
成都天齐实业,865,Holder
张静,866,Holder
夏春良,867,Holder
西藏泰颐丰信息科技,868,Holder
吴昊,869,Holder
郭爱平,870,Holder
金逸彪,871,Holder
李学义,872,Holder
彭劲松,873,Holder
东营正博石油技术,874,Holder
王福海,875,Holder
王晓慧,876,Holder
樊建民,877,Holder
郑戎,878,Holder
张婷,879,Holder
交通银行,880,Holder
新华人寿保险,881,Holder
王崇盛,882,Holder
四川雅化实业回购专用证券账户,883,Holder
徐功荣,884,Holder
唐月强,885,Holder
钱志达,886,Holder
钱志明,887,Holder
白孝明,888,Holder
周中平,889,Holder
李健平,890,Holder
翁按春,891,Holder
白骋,892,Holder
沈珺,893,Holder
北京北大未名生物工程,894,Holder
王和平,895,Holder
高宝林,896,Holder
绍兴金晖越商投资合伙企业,897,Holder
深圳三道投资管理企业,898,Holder
中南成长,899,Holder
厦门京道联萃天和创业投资基金合伙企业,900,Holder
黄侦凯,901,Holder
黄伟波,902,Holder
黄少群,903,Holder
黄伟鹏,904,Holder
黄侦杰,905,Holder
上海国药圣礼股权投资基金合伙企业,906,Holder
新疆名鼎股权投资管理合伙企业,907,Holder
童美芳,908,Holder
徐进,909,Holder
严月军,910,Holder
荷兰汇盈资产管理,911,Holder
安徽金瑞投资,912,Holder
中国光大银行,913,Holder
安徽金禾实业,914,Holder
基本养老保险基金八零八组合,915,Holder
李玲,916,Holder
谭瑞清,917,Holder
许刚,918,Holder
河南银泰投资,919,Holder
范先国,920,Holder
胡智彪,921,Holder
浙江道明投资,922,Holder
胡慧玲,923,Holder
胡智雄,924,Holder
池巧丽,925,Holder
江苏华威世纪电子,926,Holder
胡敏超,927,Holder
吴之华,928,Holder
邹欢金,929,Holder
杭州永银投资合伙企业,930,Holder
河南正商企业发展,931,Holder
方银军,932,Holder
洪树鹏,933,Holder
陆伟娟,934,Holder
许荣年,935,Holder
杭州长添资产管理,936,Holder
宁波睿正投资管理中心,937,Holder
王忠立,938,Holder
全国社保基金四,939,Holder
中节能资本控股,940,Holder
招商银行,941,Holder
山东鲁银科技投资,942,Holder
烟台供销合作社,943,Holder
中国节能环保,944,Holder
鲁银投资,945,Holder
鹏华基金管理,946,Holder
浙江卫星控股,947,Holder
YANG YA ZHEN,948,Holder
嘉兴茂源投资,949,Holder
澳门金融管理局,950,Holder
北京诚通金控投资,951,Holder
科威特政府投资局,952,Holder
徐庆芳,953,Holder
徐团华,954,Holder
徐咸大,955,Holder
上海衡平投资,956,Holder
中信信托,957,Holder
张智德,958,Holder
赵振和,959,Holder
于方,960,Holder
侯,961,Holder
唐山金控产业孵化器,962,Holder
陆企亭,963,Holder
张立岗,964,Holder
徐洪珊,965,Holder
上海康达化工新材料,966,Holder
林纳新,967,Holder
邢映红,968,Holder
郑炳旭,969,Holder
广东广业,970,Holder
王永庆,971,Holder
郑明钗,972,Holder
广东伊佩克环保产业,973,Holder
广东工程技术研究所,974,Holder
刘玮巍,975,Holder
徐金富,976,Holder
万向,977,Holder
李兴华,978,Holder
林飞,979,Holder
徐金林,980,Holder
郑侠,981,Holder
郑创发,982,Holder
郑靭,983,Holder
陈汉昭,984,Holder
汕头锦煌投资,985,Holder
方嘉琪,986,Holder
新余创景投资,987,Holder
广东光华科技,988,Holder
方志锋,989,Holder
宁建华,990,Holder
高朝霞,991,Holder
江西大龙实业,992,Holder
新世界精细化工投资,993,Holder
江西电化高科,994,Holder
