ts_code:ID(Company),name:string,area:string,industry:string,fullname:string,list_date:date,:LABEL
002468.SZ,申通快递,浙江,仓储物流,申通快递股份有限公司,2010-09-08,Company
002469.SZ,三维工程,山东,建筑工程,山东三维石化工程股份有限公司,2010-09-08,Company
002470.SZ,金正大,山东,农药化肥,金正大生态工程集团股份有限公司,2010-09-08,Company
002471.SZ,中超控股,江苏,电气设备,江苏中超控股股份有限公司,2010-09-10,Company
002472.SZ,双环传动,浙江,机械基件,浙江双环传动机械股份有限公司,2010-09-10,Company
002473.SZ,圣莱达,浙江,家用电器,宁波圣莱达电器股份有限公司,2010-09-10,Company
002474.SZ,榕基软件,福建,软件服务,福建榕基软件股份有限公司,2010-09-15,Company
002475.SZ,立讯精密,深圳,元器件,立讯精密工业股份有限公司,2010-09-15,Company
002476.SZ,宝莫股份,山东,化工原料,山东宝莫生物化工股份有限公司,2010-09-15,Company
002478.SZ,常宝股份,江苏,钢加工,江苏常宝钢管股份有限公司,2010-09-21,Company
002479.SZ,富春环保,浙江,火力发电,浙江富春江环保热电股份有限公司,2010-09-21,Company
002480.SZ,新筑股份,四川,机械基件,成都市新筑路桥机械股份有限公司,2010-09-21,Company
002481.SZ,双塔食品,山东,食品,烟台双塔食品股份有限公司,2010-09-21,Company
002482.SZ,广田集团,深圳,装修装饰,深圳广田集团股份有限公司,2010-09-29,Company
002483.SZ,润邦股份,江苏,工程机械,江苏润邦重工股份有限公司,2010-09-29,Company
002484.SZ,江海股份,江苏,元器件,南通江海电容器股份有限公司,2010-09-29,Company
002485.SZ,希努尔,山东,服饰,希努尔男装股份有限公司,2010-10-15,Company
002486.SZ,嘉麟杰,上海,服饰,上海嘉麟杰纺织品股份有限公司,2010-10-15,Company
002487.SZ,大金重工,辽宁,钢加工,辽宁大金重工股份有限公司,2010-10-15,Company
002488.SZ,金固股份,浙江,汽车配件,浙江金固股份有限公司,2010-10-21,Company
002489.SZ,浙江永强,浙江,家居用品,浙江永强集团股份有限公司,2010-10-21,Company
002490.SZ,山东墨龙,山东,化工机械,山东墨龙石油机械股份有限公司,2010-10-21,Company
002491.SZ,通鼎互联,江苏,通信设备,通鼎互联信息股份有限公司,2010-10-21,Company
002492.SZ,恒基达鑫,广东,仓储物流,珠海恒基达鑫国际化工仓储股份有限公司,2010-11-02,Company
002493.SZ,荣盛石化,浙江,化纤,荣盛石化股份有限公司,2010-11-02,Company
002494.SZ,华斯股份,河北,服饰,华斯控股股份有限公司,2010-11-02,Company
002495.SZ,佳隆股份,广东,食品,广东佳隆食品股份有限公司,2010-11-02,Company
002496.SZ,*ST辉丰,江苏,农药化肥,江苏辉丰生物农业股份有限公司,2010-11-09,Company
002497.SZ,雅化集团,四川,化工原料,四川雅化实业集团股份有限公司,2010-11-09,Company
002498.SZ,汉缆股份,山东,电气设备,青岛汉缆股份有限公司,2010-11-09,Company
002499.SZ,*ST科林,江苏,环境保护,科林环保装备股份有限公司,2010-11-09,Company
002500.SZ,山西证券,山西,证券,山西证券股份有限公司,2010-11-15,Company
